
 
Strategy strategy report for EUR/USD instrument(s) from 2025-10-05 21:00:00 to 2025-10-12 20:59:59
Account Currency	EUR
Initial Equity	10’000
Final Equity	4’766.2
Turnover	251’583’937.39
Commission Fees	5267.46

Instrument EUR/USD

First tick time	2025-10-05 21:00:00
First BID	1.17382
First ASK	1.17458
Last tick time	2025-10-10 20:59:59
Last BID	1.16149
Last ASK	1.162
Positions total	383
Closed positions	375
Orders total	1470
Amount bought	125.26
Amount sold	125.08
Turnover	251’583’937.39
Commission Fees	5261.66

Opened orders:

Label	Amount	Direction	Open price	Profit/Loss at the end	Profit/Loss at the end in pips	Open date	Comment
2025-10-06 22:00:00	Order submitted	Order [random_order_306, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:00:00	Order canceled	Order [random_order_306, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:04:00	Order submitted	Order [random_order_307, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:04:00	Order canceled	Order [random_order_307, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:06:00	Order submitted	Order [random_order_308, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:06:00	Order canceled	Order [random_order_308, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:08:00	Order submitted	Order [random_order_309, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:08:00	Order canceled	Order [random_order_309, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:13:00	Order submitted	Order [random_order_310, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:13:00	Order canceled	Order [random_order_310, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:17:00	Order submitted	Order [random_order_311, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:17:00	Order canceled	Order [random_order_311, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:18:00	Order submitted	Order [random_order_312, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:18:00	Order canceled	Order [random_order_312, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:28:00	Order submitted	Order [random_order_313, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:28:00	Order canceled	Order [random_order_313, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:30:00	Order submitted	Order [random_order_314, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
